"","zip","sdi_decile"
"1288","04984",4
"1289","04985",4
"1290","04986",5
"1291","04987",6
"1292","04988",8
"1293","04989",2
"1294","04992",1
"1295","05001",3
"1296","05031",1
"1297","05032",4
"1298","05033",5
"1299","05034",5
"1300","05035",3
"1301","05036",4
"1302","05037",1
"1303","05038",4
"1304","05039",6
"1305","05040",2
"1306","05041",2
"1307","05042",4
"1308","05043",2
"1309","05045",2
"1310","05046",3
"1311","05048",2
"1312","05050",7
"1313","05051",4
"1314","05052",1
"1315","05053",1
"1316","05055",2
"1317","05056",2
"1318","05058",5
"1319","05059",1
"1320","05060",4
"1321","05061",1
"1322","05062",3
"1323","05065",4
"1324","05067",1
"1325","05068",6
"1326","05069",5
"1327","05070",2
"1328","05071",1
"1329","05072",1
"1330","05075",1
"1331","05076",5
"1332","05077",2
"1333","05079",4
"1334","05081",8
"1335","05083",5
"1336","05084",1
"1337","05086",4
"1338","05089",4
"1339","05091",2
"1340","05101",8
"1341","05141",6
"1342","05142",3
"1343","05143",3
"1344","05146",2
"1345","05148",1
"1346","05149",5
"1347","05150",8
"1348","05151",2
"1349","05152",1
"1350","05153",3
"1351","05154",6
"1352","05155",2
"1353","05156",5
"1354","05158",5
"1355","05161",2
"1356","05201",7
"1357","05250",3
"1358","05251",1
"1359","05252",1
"1360","05253",2
"1361","05254",1
"1362","05255",4
"1363","05257",4
"1364","05260",4
"1365","05261",4
"1366","05262",1
"1367","05301",7
"1368","05340",1
"1369","05341",7
"1370","05342",2
"1371","05343",2
"1372","05345",2
"1373","05346",3
"1374","05350",5
"1375","05352",3
"1376","05353",3
"1377","05354",3
"1378","05355",3
"1379","05356",2
"1380","05358",4
"1381","05359",1
"1382","05360",3
"1383","05361",3
"1384","05362",2
"1385","05363",4
"1386","05401",9
"1387","05403",4
"1388","05404",9
"1389","05405",1
"1390","05408",6
"1391","05439",1
"1392","05440",4
"1393","05441",2
"1394","05442",5
"1395","05443",2
"1396","05444",1
"1397","05445",1
"1398","05446",4
"1399","05447",3
"1400","05448",2
"1401","05450",4
"1402","05452",3
"1403","05454",2
"1404","05455",3
"1405","05456",2
"1406","05457",1
"1407","05458",1
"1408","05459",2
"1409","05461",2
"1410","05462",1
"1411","05463",2
"1412","05464",4
